CaseID,Activity1,Activity2,Activity3,Duration,NextActivity
174036,3,5,6,19786,92
174036,5,6,4,9643,4
174036,6,4,4,1475,3
174039,3,5,6,34301,3
174042,3,5,6,9904,4
174042,5,6,4,9906,95
174042,6,4,6,231,6
174042,4,6,6,1860,3
174045,3,5,6,5.999999999,4
174045,5,6,4,163,97
174045,6,4,6,21465,3
174048,3,1,1,62,3
174051,1,1,3,75,5
174051,1,3,5,61,99
174060,3,5,6,90782,4
174060,5,6,4,92118,6
174060,6,4,6,5423,100
174060,4,6,6,9896,1
174069,1,3,5,240,6
174069,3,5,6,14123,4
174069,5,6,4,14025,102
174069,6,4,6,327,1
174072,1,1,3,97,5
174075,1,3,5,162,6
174078,3,5,6,20457,104
174084,3,5,6,35,105
174084,5,6,4,1.999999996,4
174084,6,4,4,1183,3
174087,3,5,6,11396,3
174087,5,6,3,105,107
174087,6,3,3,33026,3
174090,3,3,3,16,5
174093,3,5,5,44298,3
174096,3,5,6,15800,4
174096,5,6,4,16028,6
174096,6,4,6,9806,110
174096,4,6,6,9540,3
174099,3,5,6,32945,3
174105,3,5,6,7.999999995,113
174105,5,6,1,32,3
174105,6,1,3,95,3
174111,1,3,3,88,114
174114,1,1,1,45,115
174117,1,1,3,42,3
174120,1,3,3,76.00000001,1
174120,3,3,1,20,116
174123,1,1,1,26,3
174126,1,1,3,19.99999999,117
174129,1,3,5,10199,6
174132,3,5,6,14346,4
174132,5,6,4,4170,118
174132,6,4,6,18491,4
174132,4,6,4,18786,6
174132,6,4,6,7371,119
174132,4,6,4,7379,6
174132,6,4,6,10097,6
174132,4,6,6,9781,120
174135,1,1,3,84,121
174138,1,3,3,1031,3
174138,3,3,5,2912,122
174141,3,5,6,15844,3
174144,3,5,6,15817,3
174144,6,3,3,28295,124
174150,1,3,3,44175,125
174153,3,5,6,19876,126
174159,3,5,5,45537,127
174162,1,1,3,70,128
174168,1,3,5,76.00000001,6
174168,3,5,6,13785,4
174168,5,6,4,13838,129
174168,6,4,6,178,4
174168,4,6,4,448,4
174168,6,4,4,369,130
174168,4,3,3,29754,3
174177,3,3,3,26,131
174180,3,5,5,15216,1
174186,1,3,1,1.000000003,3
174186,3,1,3,5.999999999,133
174195,1,3,1,1.000000003,3
174195,3,1,3,2.999999999,3
174198,1,3,3,1152,134
174201,1,3,3,1275,135
174204,1,1,3,844,136
174207,1,3,3,1343,1
174213,1,3,3,2784,3
174213,3,3,5,6832,138
174216,3,5,6,31164,4
174216,5,6,4,21579,6
174216,6,4,6,1340,139
174219,1,3,1,13,140
174219,3,1,3,947,5
174228,1,3,5,11549,1
174234,1,1,3,796,5
174237,1,3,5,11369,142
174237,3,5,6,42068,4
174237,5,6,4,31582,4
174237,6,4,4,1511,143
174240,1,3,1,23,144
174240,3,1,3,939,1
174246,1,3,3,14397,3
174249,3,3,3,53.00000001,5
174252,3,5,6,19070,4
174252,5,6,4,16078,6
174252,6,4,6,1432,147
174255,3,5,6,13114,148
174255,5,6,6,4442,1
174258,1,3,1,1.000000003,3
174261,1,3,5,10778,150
174261,3,5,6,18601,4
174261,5,6,4,8119,6
174261,6,4,6,1384,151
174264,1,3,5,277,152
174264,3,5,6,50615,4
174264,5,6,4,50712,6
174264,6,4,6,2594,153
174270,3,5,5,30454,154
174273,1,3,5,10622,155
174282,1,3,5,8916,156
174285,3,5,6,12936,4
174285,5,6,4,4208,6
174285,6,4,6,151,157
174291,1,3,5,10784,5
174291,3,5,5,22098,1
174294,1,3,5,165,5
174294,3,5,5,44598,160
174297,1,3,3,230,161
174300,1,1,3,216,162
174303,1,3,3,271,3
174303,3,3,5,1730,163
174319,3,5,6,13033,4
174319,5,6,4,11538,6
174319,6,4,6,1211,164
174322,3,5,5,44522,165
174325,3,5,6,8806,166
174325,5,6,4,5813,6
174325,6,4,6,1124,6
174325,4,6,6,1079,167
174331,1,3,3,16,168
174331,3,3,5,15,6
174334,3,5,6,8946,6
174334,5,6,6,8962,169
174337,1,3,5,48,170
174337,3,5,6,1389,4
174337,5,6,4,1584,6
174337,6,4,6,1695,171
174337,4,6,4,1584,6
174337,6,4,6,1245,4
174337,4,6,4,1360,172
174337,4,3,5,4233,6
174343,3,5,6,12877,173
174343,5,6,4,4138,6
174343,6,4,6,11615,1
174346,1,3,5,52.99999999,5
174349,3,5,5,29000,175
174352,1,1,3,64.99999999,176
174355,1,3,5,4320,6
174358,3,5,6,32951,4
174358,5,6,4,28697,177
174358,6,4,6,16000,1
174361,1,3,3,521,1
174364,1,3,5,10494,5
174367,3,5,5,23497,1
174376,1,1,3,63.00000001,5
174376,1,3,5,10391,181
174379,3,5,5,15709,3
174382,3,5,6,10114,4
174382,5,6,4,10216,6
174382,6,4,6,1198,183
174382,4,6,4,1096,4
174382,6,4,4,1.999999996,3
174385,3,5,6,11200,6
174385,5,6,6,2789,185
174388,3,5,6,10147,186
174388,5,6,6,10136,3
174394,3,5,6,12606,3
174397,3,5,6,12999,4
174397,5,6,4,13147,6
174397,6,4,6,1112,189
174397,4,6,4,803,6
174397,6,4,6,8585,6
174397,4,6,6,10043,190
174403,1,3,5,10466,6
174403,3,5,6,24549,192
174403,5,6,6,21274,3
174406,3,5,5,44368,3
174409,3,5,6,12953,4
174409,5,6,4,12978,6
174409,6,4,6,1118,195
174415,3,5,6,21377,196
174418,1,3,5,13326,197
174418,3,5,6,32828,4
174418,5,6,4,19546,6
174418,6,4,6,84.99999999,198
174424,1,3,5,1703,6
174424,3,5,6,14683,200
174424,5,6,4,13047,6
174424,6,4,6,3834,3
174430,3,5,6,14453,3
174433,3,3,1,21.00000001,3
174436,1,3,5,39.99999999,6
174436,3,5,6,32980,4
174436,5,6,4,33396,204
174436,6,4,4,1846,1
174442,1,1,3,853,3
174442,1,3,3,2714,3
174445,3,3,5,5600,6
174448,3,5,6,9965,4
174448,5,6,4,2795,207
174448,6,4,6,1303,1
174451,1,3,3,168,3
174451,3,3,3,59,3
174451,3,3,3,44111,209
174457,3,3,3,5.999999999,5
174463,3,5,6,14369,210
174463,5,6,4,14557,6
174463,6,4,6,4020,4
174463,4,6,4,3832,211
174463,6,4,6,1281,1
174469,1,3,5,9691,6
174469,3,5,6,14130,1
174472,1,3,3,941,1
174475,3,3,1,42,214
174478,1,3,5,1177,6
174478,3,5,6,24023,215
174478,5,6,4,22880,4
174478,6,4,4,140,1
174481,1,3,3,11223,1
174481,3,3,1,0.999999993,217
174484,1,3,3,929,3
174484,3,3,5,7157,6
174487,3,5,6,9660,1
174490,1,3,3,1389,3
174490,3,3,5,8768,5
174493,3,5,5,44086,3
174496,3,1,3,23.99999999,5
174499,1,3,5,10116,222
174502,3,5,6,53020,3
174505,3,5,6,18395,6
174505,5,6,6,8304,3
174508,3,5,6,24063,3
174511,3,5,6,74535,6
174511,5,6,6,74564,226
174517,3,5,5,54788,227
174526,1,3,5,10303,228
174529,3,5,6,27572,6
174529,5,6,6,17309,1
174532,1,3,5,15,6
174535,3,5,6,13657,230
174535,5,6,3,14,5
174538,3,5,6,17650,231
174538,5,6,6,17693,1
174541,1,3,5,10221,5
174541,3,5,5,39424,1
174547,1,3,5,621,5
174547,3,5,5,44614,234
174559,1,3,5,16,235
174559,3,5,6,23326,4
174559,5,6,4,23330,6
174559,6,4,6,5421,236
174559,4,6,6,5442,1
174562,1,3,5,7461,6
174562,3,5,6,10099,6
174562,5,6,6,2739,238
174565,1,3,5,102,239
174565,3,5,5,11861,1
174568,1,3,5,10136,5
174568,3,5,5,29408,3
174571,3,5,5,10092,1
174571,5,5,1,1.999999996,242
174574,1,3,5,633,6
174577,3,5,6,19177,243
174577,5,6,4,18692,6
174577,6,4,6,8480,4
174577,4,6,4,8470,244
174577,6,4,6,13114,1
174602,1,3,5,1.999999996,6
174602,3,5,6,66.00000001,3
174602,5,6,3,7.000000002,246
174602,6,3,5,10037,6
174605,3,5,6,18639,3
174611,1,3,3,83,248
174611,3,3,5,10196,5
174614,3,5,5,44593,3
174620,3,5,6,23092,1
174623,1,1,1,115,3
174626,1,3,5,9954,6
174629,3,5,6,28935,6
174629,5,6,6,20452,252
174635,3,5,6,17678,253
174635,5,6,6,7568,3
174638,3,5,5,44608,3
174644,3,5,5,79748,1
174647,1,3,5,1977,6
174650,3,5,6,23244,4
174650,5,6,4,21287,257
174653,3,5,6,28915,258
174653,5,6,6,33059,3
174656,3,5,6,11500,4
174656,5,6,4,8618,6
174656,6,4,6,1302,260
174656,4,6,6,1264,1
174659,1,3,5,8711,6
174659,3,5,6,37398,4
174659,5,6,4,28996,262
174659,6,4,6,2906,6
174659,4,6,6,2746,1
174665,1,1,1,135,3
174668,1,3,5,323,5
174671,3,5,5,44474,3
174683,3,3,3,13.99999999,5
174686,3,5,6,11687,1
174689,1,3,3,44474,3
174695,3,5,5,9928,3
174707,3,5,6,20215,3
174707,6,3,3,24187,270
174710,3,3,1,48,3
174713,3,3,3,170,3
174716,3,3,3,111,5
174716,3,3,5,8865,272
174719,3,5,6,17026,2
174719,5,6,2,8073,6
174719,6,2,6,23,273
174722,3,5,6,48878,274
174728,1,1,1,15,275
174731,1,1,2,1125,2
174731,1,2,2,1468,1
174737,1,3,5,4144,5
174737,3,5,5,27652,277
174740,3,5,5,44318,278
174746,1,1,3,10,5
174746,1,3,5,7.000000002,280
174749,3,5,6,43341,3
174749,5,6,3,8.999999998,5
174752,3,5,6,21541,2
174758,3,5,6,2766,283
174758,5,6,4,2778,6
174758,6,4,6,24589,6
174758,4,6,6,24600,284
174761,3,5,6,12919,285
174761,5,6,4,12904,3
174764,3,5,6,13263,4
174764,5,6,4,6265,3
174773,3,5,6,17552,289
174779,3,5,6,11342,290
174779,5,6,1,20,1
174782,1,1,3,2.999999999,291
174785,1,3,5,1098,6
174785,3,5,6,18268,4
174785,5,6,4,17262,292
174785,6,4,6,3029,4
174785,4,6,4,2966,4
174785,6,4,4,126,293
174800,3,5,6,16955,3
174800,5,6,3,2.999999999,3
174800,6,3,3,27348,295
174806,3,3,1,7.000000002,3
174815,1,3,5,65,296
174815,3,5,6,31327,4
174815,5,6,4,31368,6
174815,6,4,6,64.99999999,297
174815,4,6,4,186,3
174818,3,5,5,44232,3
174821,3,3,3,96,5
174821,3,3,5,9712,6
174824,3,5,6,31581,300
174824,5,6,4,22129,6
174824,6,4,6,1470,3
174827,3,5,1,15.00000001,3
174836,1,3,5,245,6
174845,3,5,6,21377,4
174845,5,6,4,21348,303
174845,6,4,6,1188,3
174848,3,5,6,12502,3
174851,3,5,6,26815,4
174851,5,6,4,26916,6
174851,6,4,6,1523,306
174851,4,6,4,1448,6
174851,6,4,6,1528,4
174851,4,6,4,1531,307
174851,6,4,6,1230,6
174851,4,6,6,1354,3
174851,6,3,3,12951,1
174857,1,3,3,980,1
174860,1,3,3,61,3
174860,3,3,3,32,5
174863,3,5,6,22535,3
174863,6,3,3,21600,312
174869,3,3,3,30,5
174872,3,5,6,31206,313
174872,5,6,4,31241,6
174872,6,4,6,8649,4
174872,4,6,4,8641,314
174872,6,4,4,13332,3
174875,3,5,6,12749,3
174878,3,5,6,11114,3
174881,3,5,5,44091,3
174881,5,5,3,10.99999999,5
174884,3,5,5,44079,3
174884,5,5,3,2.999999999,3
174890,3,3,3,2.999999999,3
174890,3,3,3,909,3
174893,3,3,3,2.000000007,320
174893,3,3,5,7120,6
174896,3,5,6,12369,4
174896,5,6,4,4407,321
174896,6,4,6,10152,6
174896,4,6,6,10128,1
174902,1,3,3,44,3
174902,3,3,3,3.999999992,323
174905,3,5,6,28446,6
174905,5,6,6,31397,324
174908,1,1,3,747,325
174908,1,3,5,814,6
174911,3,5,6,16021,3
174914,3,5,5,14049,1
174917,1,3,5,11495,5
174917,3,5,5,44707,328
174920,1,3,5,9401,329
174920,3,5,6,36927,1
174923,1,3,5,811,6
174923,3,5,6,10246,4
174923,5,6,4,10201,331
174923,6,4,6,1291,3
174926,3,5,6,21870,4
174926,5,6,4,22052,6
174926,6,4,6,5900,333
174926,4,6,6,5719,3
174929,3,5,6,16061,1
174929,5,6,1,26.99999999,3
174932,1,3,3,636,3
174932,3,3,5,5216,336
174935,3,5,6,21731,4
174935,5,6,4,15871,6
174935,6,4,6,6053,337
174938,3,5,6,40414,338
174938,5,6,4,30003,6
174938,6,4,6,1467,1
174941,3,3,5,194,340
174944,3,5,6,17390,4
174944,5,6,4,17320,6
174944,6,4,6,1390,341
174944,4,6,4,1232,6
174944,6,4,6,8975,1
174947,1,3,5,68.99999999,5
174947,3,5,5,10228,343
174950,3,3,3,11,344
174950,3,3,5,5761,6
174953,3,5,6,8701,1
174956,1,3,5,10248,5
174959,3,5,5,44689,346
174962,3,5,6,11599,347
174962,5,6,4,16856,6
174962,6,4,6,5745,3
174965,3,5,6,29200,6
174965,5,6,6,26190,349
174968,1,3,5,7147,350
174968,3,5,6,17240,6
174968,5,6,6,10184,3
174979,3,5,5,26531,3
174982,3,3,3,17,5
174982,3,3,5,6.999999991,353
174985,3,5,5,10220,3
174985,5,5,3,29,3
174985,5,3,3,34387,354
174991,3,3,1,132,3
174994,1,3,2,91,355
174997,3,2,2,5715,1
175015,3,5,6,16040,357
175015,5,6,4,16058,4
175015,6,4,4,4600,1
175018,1,3,5,42,6
175018,3,5,6,9819,359
175018,6,3,3,34578,1
175027,1,3,5,19,6
175027,3,5,6,7311,361
175027,5,6,2,8421,6
175027,6,2,6,1119,6
175027,2,6,6,32.99999999,362
175033,1,3,5,10267,363
175039,3,5,5,44447,1
175042,1,3,5,11334,6
175045,3,5,6,17404,6
175045,5,6,6,6061,365
175048,1,3,3,44415,366
175054,1,3,5,10046,367
175054,3,5,6,31713,1
175057,1,3,5,15.00000001,6
175060,3,5,6,40443,6
175060,5,6,6,47551,369
175063,1,1,1,18,370
175066,1,1,3,34.00000001,3
175075,1,3,3,336,3
175075,3,3,3,13.99999999,371
175075,3,3,5,5431,6
175078,3,5,6,25636,4
175078,5,6,4,20172,372
175078,6,4,6,11712,4
175078,4,6,4,11478,6
175078,6,4,6,1584,373
175081,3,5,6,30169,374
175081,5,6,4,30559,6
175081,6,4,6,1606,1
175087,1,1,3,89.00000001,5
175093,1,3,5,70,376
175093,3,5,6,86178,1
175096,1,3,3,44289,3
175099,3,5,6,17087,4
175099,5,6,4,8012,6
175099,6,4,6,1354,379
175099,4,6,6,92.00000001,1
175102,1,3,5,87,6
175105,3,5,6,17181,1
175105,5,6,1,92,381
175108,1,1,3,48,3
175111,3,3,5,612,6
175114,3,5,6,11118,1
175117,1,3,3,44099,1
175120,3,3,1,88,384
175126,1,1,3,0.999999993,3
175132,1,3,3,15897,385
175135,3,3,3,58,5
175141,3,5,5,11088,386
175147,3,5,6,18399,387
175147,5,6,4,7537,6
175147,6,4,6,2982,1
175150,1,3,5,8144,6
175153,3,5,6,11545,389
175159,1,3,5,8002,6
175162,3,5,6,15596,391
175168,1,3,3,43998,392
175171,3,3,1,22,3
175174,1,3,3,2476,393
175177,1,3,5,10289,394
175177,3,5,6,34929,3
175180,3,5,6,24524,4
175180,5,6,4,14340,6
175180,6,4,6,335,396
175183,3,5,6,20770,397
175183,5,6,6,11528,1
175186,1,3,1,1.999999996,3
175186,3,1,3,75,3
175189,1,3,3,159,399
175192,3,5,6,10454,400
175192,5,6,4,10748,6
175192,6,4,6,15481,3
175195,3,5,5,38087,3
175201,1,3,5,10150,6
175204,3,5,6,17285,4
175204,5,6,4,7210,404
175204,6,4,6,222,3
175225,1,1,3,28.00000001,406
175228,1,3,5,10767,5
175231,3,5,5,86411,3
175234,3,5,5,71184,3
175239,3,5,5,35134,1
175248,1,3,5,13.99999999,410
175248,3,5,6,14,4
175248,5,6,4,290,6
175248,6,4,6,4586,411
175248,6,3,5,5633,5
175251,3,5,5,11886,412
175254,3,5,6,38962,413
175254,5,6,4,39080,4
175254,6,4,4,8788,1
175257,1,1,3,35.00000001,3
175260,1,3,3,4684,415
175260,3,3,1,16.99999999,3
175263,1,3,5,10488,416
175263,3,5,5,20517,1
175266,1,3,5,23,6
175266,3,5,6,10403,1
175275,1,3,5,15.00000001,5
175275,3,5,5,51937,419
175278,3,5,5,11741,420
175278,5,5,1,60,3
175281,1,3,5,160,421
175281,3,5,6,17238,4
175281,5,6,4,17140,6
175281,6,4,6,7278,422
175281,4,6,4,7305,6
175281,6,4,6,55.99999999,1
175284,1,1,3,168,5
175287,1,3,5,441,424
175287,3,5,6,30307,6
175287,5,6,6,29969,3
175293,3,5,6,17357,4
175293,5,6,4,17372,426
175293,6,4,6,10029,6
175293,4,6,6,10139,3
175299,3,3,5,10185,428
175302,3,5,6,21675,3
175305,3,5,6,18562,3
175311,3,5,6,15952,4
175311,5,6,4,6163,6
175311,6,4,6,1119,431
175311,4,6,4,995,6
175311,6,4,6,417,4
175311,4,6,4,408,432
175311,6,4,6,2515,1
175314,1,1,3,68,5
175323,1,3,5,68,6
175323,3,5,6,17205,434
175323,5,6,6,18649,1
175329,1,3,5,41,6
175329,3,5,6,46140,4
175329,5,6,4,46172,436
175329,6,4,6,8292,4
175329,4,6,4,8294,1
175332,1,3,5,10485,5
175332,3,5,5,39292,438
175335,1,3,5,10447,439
175335,3,5,6,18550,4
175335,5,6,4,8127,6
175335,6,4,6,5943,440
175338,3,5,5,44393,441
175338,5,5,3,8.999999998,3
175341,3,3,3,36,442
175344,3,5,6,45950,4
175344,5,6,4,45909,443
175344,6,4,6,36,1
175347,1,3,5,16,6
175347,3,5,6,15873,6
175347,5,6,6,15901,445
175353,3,5,6,20498,446
175353,5,6,4,20350,6
175353,6,4,6,14039,4
175353,4,6,4,14226,447
175353,6,4,6,14507,1
175359,1,3,3,59,5
175359,3,3,5,11354,5
175365,3,5,5,44310,449
175371,3,3,5,10309,6
175374,3,5,6,20382,451
175374,5,6,4,11278,6
175374,6,4,6,3729,4
175374,4,6,4,2636,452
175374,6,4,6,386,1
175377,1,3,5,11244,6
175377,3,5,6,28643,4
175377,5,6,4,17729,454
175377,6,4,6,8693,6
175377,4,6,6,8428,3
175377,6,3,3,6903,3
175380,3,3,3,12,5
175383,3,5,6,21441,3
175386,3,5,5,44272,3
175392,3,5,6,20164,459
175392,5,6,4,20310,6
175392,6,4,6,4306,4
175392,4,6,4,4209,460
175392,6,4,6,12795,1
175395,1,3,5,26,5
175395,3,5,5,10323,1
175398,1,1,3,35.99999999,3
175401,1,3,3,44279,463
175401,3,3,3,7.000000002,5
175407,3,5,6,24164,464
175407,5,6,6,24239,3
175410,3,5,6,28422,4
175410,5,6,4,28361,6
175410,6,4,6,1747,466
175413,3,5,3,4.000000003,467
175419,3,5,5,31598,1
175419,5,5,1,120,468
175422,1,1,3,846,5
175425,1,3,5,851,469
175425,3,5,6,24549,4
175425,5,6,4,24593,6
175425,6,4,6,284,470
175428,1,3,5,11257,471
175428,3,5,6,25994,4
175428,5,6,4,15606,4
175428,6,4,4,10503,472
175434,1,3,5,11248,473
175434,3,5,5,13280,1
175437,1,3,5,10120,6
175437,3,5,6,21466,4
175437,5,6,4,13838,475
175437,6,4,6,2882,4
175437,4,6,4,433,6
175437,6,4,6,1050,476
175455,1,3,5,10192,6
175455,3,5,6,25637,478
175473,1,3,3,990,479
175473,3,3,3,43032,3
175476,3,3,3,2.999999999,480
175479,3,3,3,853,5
175485,3,5,6,22965,1
175488,3,3,5,21,6
175491,3,5,6,23066,483
175494,3,5,6,24621,484
175497,3,5,6,33360,485
175519,1,3,3,61,486
175522,1,1,1,2.000000007,487
175522,1,1,3,29,5
175525,1,3,5,10321,5
175525,3,5,5,44547,488
175528,3,5,1,7.999999995,489
175531,1,3,3,43,5
175531,3,3,5,38.99999999,490
175534,3,5,5,44590,3
175537,3,3,5,57.00000001,6
175543,3,5,6,18943,4
175543,5,6,4,22990,492
175543,6,4,6,8548,6
175543,4,6,6,4622,3
175546,3,5,6,27444,3
175549,3,5,6,14335,4
175549,5,6,4,14320,495
175549,6,4,6,1471,6
175549,4,6,6,1487,3
175552,3,5,6,24559,6
175552,5,6,6,15725,497
175555,1,3,3,44431,498
175564,1,3,3,66,499
175564,3,3,5,14,6
175567,3,5,6,22649,1
175570,1,3,5,9888,5
175573,3,5,5,54438,501
175576,3,3,5,10219,502
175582,3,5,6,27424,4
175582,5,6,4,17223,6
175582,6,4,6,972,503
175585,3,5,6,27279,504
175585,5,6,4,27585,6
175585,6,4,6,1143,1
175588,1,1,3,8.000000005,5
175588,1,3,5,2464,506
175591,3,5,5,29939,3
175597,3,5,6,17252,508
175597,5,6,4,17250,4
175597,6,4,4,5604,3
175600,3,5,5,43263,1
175603,1,3,5,13,6
175606,3,5,6,14715,511
175606,5,6,6,15837,3
175615,3,5,5,43847,3
175624,3,5,6,10380,1
175627,1,3,5,5862,6
175627,3,5,6,11511,1
175630,1,3,3,41818,3
175642,3,3,1,18,1
175648,1,1,3,79.00000001,5
175651,1,3,5,83.99999999,6
175651,3,5,6,55060,518
175651,5,6,4,55105,4
175651,6,4,4,7080,1
175654,1,3,5,642,6
175657,3,5,6,16206,520
175657,5,6,6,19681,1
175660,1,1,3,15,3
175663,1,3,3,23,5
175666,3,3,5,60.00000001,522
175669,3,5,5,44647,1
175672,1,3,5,4460,1
175675,1,3,3,43234,1
175678,1,1,3,121,3
175681,1,3,3,4328,3
175684,3,5,6,12871,4
175684,5,6,4,12467,527
175684,6,4,6,11562,6
175684,4,6,6,11720,1
175687,1,3,5,10574,5
175687,3,5,5,12986,529
175690,3,5,5,10518,530
175690,5,5,3,138,5
175693,3,5,5,10466,531
175696,1,1,3,126,532
175699,1,3,5,2073,5
175699,3,5,5,11906,1
175702,1,3,3,13129,1
175705,1,1,3,8.999999998,535
175711,1,3,1,8.000000005,3
175711,3,1,3,124,3
175714,1,3,3,545,536
175717,3,3,5,24539,537
175720,3,5,5,31715,3
175726,3,5,5,13458,1
175729,1,3,5,10736,6
175735,3,5,6,14311,4
175735,5,6,4,3707,540
175735,6,4,6,16089,4
175735,4,6,4,16263,1
175738,1,3,5,488,6
175741,3,5,6,26125,542
175741,5,6,6,25775,1
175744,1,3,3,43251,1
175747,1,3,3,419,1
175756,1,3,5,10179,6
175756,3,5,6,15993,4
175756,5,6,4,6154,546
175756,6,4,6,1123,1
175759,1,3,3,584,1
175765,1,3,1,2.999999999,3
175768,1,3,3,327,549
175768,3,3,3,184,3
175774,3,5,5,10473,3
175774,5,5,3,187,5
175780,3,5,5,44346,1
175786,1,3,5,9996,3
175789,3,5,3,180,5
175792,3,5,5,44344,3
175798,3,5,6,26104,3
175798,5,6,3,5.999999999,5
175801,3,5,6,26150,3
175804,3,5,5,44497,1
175807,1,3,5,381,5
175807,3,5,5,16049,1
175810,1,1,3,182,5
175813,1,3,5,187,559
175813,3,5,6,14243,3
175813,5,6,3,119,3
175822,3,5,6,12736,561
175822,5,6,4,12808,6
175822,6,4,6,1377,3
175825,3,5,6,11234,3
175834,3,5,6,11667,1
175837,1,1,3,170,3
175840,1,3,3,2038,566
175843,1,3,5,10191,567
175843,3,5,6,14555,1
175846,1,3,5,5845,6
175859,3,5,6,11426,4
175859,5,6,4,5756,569
175859,6,4,6,160,1
175871,1,3,1,15,1
175871,3,1,1,23,571
175877,1,1,3,23,5
175880,1,3,5,10605,6
175883,3,5,6,24471,572
175883,5,6,4,13907,4
175883,6,4,4,464,1
175889,1,3,5,4286,574
175892,3,5,6,4562,4
175892,5,6,4,255,6
175892,6,4,6,5585,575
175892,4,6,4,5590,6
175892,6,4,6,33188,1
175898,1,3,3,176,1
175901,1,3,5,10477,6
175907,3,5,6,24954,578
175907,5,6,6,15306,3
175910,3,5,5,42307,3
175913,3,5,6,15830,6
175913,5,6,6,15869,1
175922,1,3,3,348,582
175922,3,3,1,50.00000001,3
